Game result,Time,Score,Algorithm
Lose,1.5664734840393066,6,alpha-beta
Lose,0.576040506362915,1,alpha-beta
Lose,2.8686587810516357,13,alpha-beta
Lose,6.42434549331665,19,alpha-beta
Lose,2.779655933380127,11,alpha-beta
Lose,1.6936590671539307,7,alpha-beta
Lose,1.2406854629516602,5,alpha-beta
Lose,2.9382526874542236,13,alpha-beta
Lose,9.392913579940796,27,alpha-beta
Lose,1.9543046951293945,9,alpha-beta
Lose,3.084798574447632,8,alpha-beta
Lose,6.027244567871094,14,alpha-beta
Lose,0.18742108345031738,1,alpha-beta
Lose,6.191129446029663,22,alpha-beta
