GameNumb,Score,Time
0,13,1
1,3,1
2,11,1
3,6,1
4,7,2
0,17,3
1,10,1
2,5,1
3,13,1
4,10,1
5,13,1
6,7,1
7,12,2
8,8,1
9,10,2
10,5,1
11,18,4
12,10,1
0,6,1
1,5,1
2,3,1
3,7,0
4,14,3
5,7,1
0,7,0
1,4,0
2,6,0
3,12,0
4,6,0
5,11,1
6,4,1
7,10,3
8,17,4
9,18,3
10,4,2
11,9,1
12,9,1
13,9,1
14,13,1
15,18,1
16,9,1
17,14,1
18,9,1
19,8,1
